Año	CCAA código	CCAA nombre	Tipo licencias código	Tipo licencias descripción	Licencias
2010	02	Aragón	OT	Operaciones de transporte	258
2010	02	Aragón	VD-N	Transporte de viajeros nacionales servicio público	1045
2010	02	Aragón	VS-N	Ambulancias nacionales servicio público	266
2010	02	Aragón	VT-N	Licencias taxi	2240
2010	02	Aragón	MDL-N	Transporte mercancías ligeras nacionales servicio público	2288
2010	02	Aragón	MDP-N	Transporte mercancías pesadas nacionales servicio público	11664
2010	02	Aragón	MPC-N	Transporte mercancías propias nacional	3881
2010	02	Aragón	VPC-N	Transporte privado de viajeros nacional	55
2010	02	Aragón	VTC-N	Transporte de alquiler con conductor nacional	182
2010	02	Aragón	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	1415
2010	02	Aragón	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	2438
2010	02	Aragón	MPCE-N	transporte mercancías propias nacional autorizado por empresa	2077
2010	02	Aragón	VSPC-N	Transporte privado ambulancias nacional	41
2011	02	Aragón	OT	Operaciones de transporte	265
2011	02	Aragón	VD-N	Transporte de viajeros nacionales servicio público	980
2011	02	Aragón	VS-N	Ambulancias nacionales servicio público	314
2011	02	Aragón	VT-N	Licencias taxi	2269
2011	02	Aragón	MDL-N	Transporte mercancías ligeras nacionales servicio público	2201
2011	02	Aragón	MDP-N	Transporte mercancías pesadas nacionales servicio público	11602
2011	02	Aragón	MPC-N	Transporte mercancías propias nacional	3655
2011	02	Aragón	VPC-N	Transporte privado de viajeros nacional	37
2011	02	Aragón	VTC-N	Transporte de alquiler con conductor nacional	188
2011	02	Aragón	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	1266
2011	02	Aragón	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	2409
2011	02	Aragón	MPCE-N	transporte mercancías propias nacional autorizado por empresa	2041
2011	02	Aragón	VSPC-N	Transporte privado ambulancias nacional	31
2011	02	Aragón	VD	Transporte público viajeros en autobús	9
2011	02	Aragón	XD-N	Servicio público nacional mixto-Mercancías y viajeros	0
2011	02	Aragón	XD	Servicio público mixto-Mercancías y viajeros	3
2012	02	Aragón	OT	Operaciones de transporte	249
2012	02	Aragón	VD-N	Transporte de viajeros nacionales servicio público	983
2012	02	Aragón	VS-N	Ambulancias nacionales servicio público	295
2012	02	Aragón	VT-N	Licencias taxi	2281
